ssn,type,count_type
101-23-4003,china-unionpay,1
101-23-4003,diners-club-carte-blanche,1
101-28-0170,jcb,1
101-28-0170,laser,1
101-95-0269,diners-club-enroute,2
101-95-0269,mastercard,1
102-43-7970,mastercard,2
102-56-9727,jcb,1
102-56-9727,maestro,1
102-56-9727,mastercard,1
103-21-2616,americanexpress,1
103-21-2616,jcb,1
104-57-4862,americanexpress,1
104-57-4862,jcb,1
104-57-4862,maestro,1
104-57-4862,mastercard,1
104-76-7098,diners-club-international,1
104-76-7098,jcb,1
105-36-5222,instapayment,1
105-36-5222,jcb,1
105-43-8315,jcb,2
105-50-6974,diners-club-enroute,1
105-50-6974,jcb,1
105-50-6974,switch,1
105-74-3193,diners-club-carte-blanche,1
105-74-3193,jcb,1
107-49-9290,jcb,2
107-88-3134,jcb,1
107-88-3134,maestro,1
108-85-9841,diners-club-carte-blanche,1
108-85-9841,jcb,2
109-89-3303,diners-club-us-ca,1
109-89-3303,jcb,1
109-89-3303,mastercard,1
111-43-4006,jcb,1
111-43-4006,maestro,1
111-76-7463,americanexpress,1
111-76-7463,mastercard,1
112-29-9009,jcb,2
112-89-3462,jcb,2
113-20-6060,jcb,2
116-38-5846,jcb,1
116-38-5846,mastercard,1
116-55-6682,instapayment,1
116-55-6682,jcb,1
116-55-6682,mastercard,1
116-56-7765,china-unionpay,1
116-56-7765,diners-club-carte-blanche,1
116-68-0073,mastercard,2
116-76-1027,jcb,3
117-88-3184,maestro,3
118-41-7254,bankcard,1
118-41-7254,jcb,1
119-23-0359,diners-club-enroute,1
119-23-0359,visa,1
119-42-2065,diners-club-carte-blanche,1
119-42-2065,jcb,1
120-16-9235,jcb,1
120-16-9235,solo,1
120-63-9207,americanexpress,1
120-63-9207,bankcard,1
120-63-9207,china-unionpay,1
121-25-1837,jcb,1
121-25-1837,mastercard,1
121-30-4532,americanexpress,1
121-30-4532,china-unionpay,1
121-33-8259,china-unionpay,1
121-33-8259,jcb,1
121-61-7392,diners-club-enroute,1
121-61-7392,jcb,1
122-01-0008,jcb,2
122-01-0008,mastercard,1
122-25-5472,instapayment,1
122-25-5472,jcb,1
124-05-0503,jcb,1
124-05-0503,mastercard,1
124-10-5077,jcb,2
124-56-5216,maestro,2
124-67-4511,jcb,1
124-67-4511,mastercard,1
124-67-4511,switch,1
125-11-9547,jcb,1
125-11-9547,maestro,1
125-99-1849,americanexpress,1
125-99-1849,solo,1
126-70-5791,laser,1
126-70-5791,visa-electron,2
126-76-4054,americanexpress,2
126-76-4054,jcb,1
126-76-4054,laser,1
127-81-8652,diners-club-enroute,2
127-81-8652,jcb,1
128-54-2981,diners-club-carte-blanche,1
128-54-2981,jcb,1
129-05-3570,americanexpress,2
129-55-2663,instapayment,1
129-55-2663,jcb,1
129-55-2663,mastercard,1
130-15-8759,instapayment,1
130-15-8759,mastercard,1
130-89-0881,maestro,1
130-89-0881,mastercard,2
134-20-1855,americanexpress,2
134-20-1855,jcb,1
134-20-1855,solo,1
134-41-6087,diners-club-carte-blanche,1
134-41-6087,diners-club-enroute,1
134-41-6087,jcb,1
134-83-9016,mastercard,1
134-83-9016,visa-electron,1
134-91-8431,jcb,2
134-91-8431,visa-electron,1
135-17-0272,jcb,1
135-17-0272,mastercard,1
135-17-0272,visa,1
136-28-0136,diners-club-carte-blanche,1
136-28-0136,visa,1
136-58-6406,jcb,1
136-58-6406,switch,1
136-86-3677,jcb,3
137-54-8553,jcb,3
137-54-8553,mastercard,1
138-67-2804,jcb,1
138-67-2804,maestro,1
138-67-2804,mastercard,1
139-20-0161,bankcard,1
139-20-0161,jcb,1
139-48-4495,jcb,1
139-48-4495,switch,1
139-51-8679,china-unionpay,1
139-51-8679,jcb,2
139-94-8592,jcb,1
139-94-8592,mastercard,1
141-27-5209,jcb,1
141-27-5209,maestro,1
141-27-5209,switch,1
143-51-9129,instapayment,1
143-51-9129,jcb,1
143-53-7619,diners-club-carte-blanche,1
143-53-7619,jcb,1
143-53-7619,solo,1
143-60-6180,diners-club-enroute,1
143-60-6180,jcb,1
143-60-6180,switch,1
145-01-7020,maestro,2
145-95-9488,jcb,1
145-95-9488,mastercard,1
146-33-7042,jcb,1
146-33-7042,solo,1
146-49-5376,diners-club-enroute,1
146-49-5376,jcb,2
146-66-2213,mastercard,1
146-66-2213,switch,1
148-08-0602,instapayment,1
148-08-0602,mastercard,1
148-29-1885,jcb,1
148-29-1885,visa,1
148-37-0888,americanexpress,1
148-37-0888,visa-electron,1
149-76-4517,diners-club-international,1
149-76-4517,jcb,1
149-93-7531,americanexpress,1
149-93-7531,mastercard,1
150-05-9341,jcb,2
150-85-0837,jcb,2
151-01-8176,diners-club-carte-blanche,1
151-01-8176,jcb,1
152-59-6491,diners-club-carte-blanche,1
152-59-6491,instapayment,1
153-93-7015,diners-club-us-ca,1
153-93-7015,jcb,1
154-20-0709,jcb,1
154-20-0709,switch,1
154-20-0709,visa,1
154-37-3788,china-unionpay,1
154-37-3788,jcb,1
154-37-3788,switch,1
154-46-3269,china-unionpay,1
154-46-3269,jcb,1
154-46-3269,switch,1
154-57-2937,jcb,1
154-57-2937,visa-electron,1
155-15-7556,diners-club-enroute,1
155-15-7556,jcb,1
155-15-7556,maestro,1
155-61-2367,instapayment,1
155-61-2367,jcb,2
155-61-2367,mastercard,1
155-62-9139,americanexpress,2
155-62-9139,instapayment,1
157-15-8378,jcb,1
157-15-8378,maestro,1
157-15-8378,visa,1
157-16-9342,americanexpress,1
157-16-9342,jcb,1
157-54-5160,jcb,2
157-73-9061,jcb,1
157-73-9061,visa-electron,1
157-80-4542,jcb,2
157-82-9220,jcb,1
157-82-9220,switch,1
157-91-8159,jcb,1
157-91-8159,maestro,1
158-36-3613,jcb,1
158-36-3613,laser,1
159-49-0391,diners-club-us-ca,1
159-49-0391,jcb,1
159-49-0391,switch,1
159-49-0391,visa-electron,1
160-23-4723,jcb,1
160-23-4723,maestro,1
160-23-4723,visa-electron,1
160-62-7059,jcb,1
160-62-7059,visa-electron,1
161-21-0669,bankcard,2
161-78-6177,jcb,1
161-78-6177,visa-electron,1
161-97-9697,jcb,3
162-32-8542,americanexpress,1
162-32-8542,switch,1
164-78-4880,americanexpress,1
164-78-4880,jcb,1
164-78-4880,visa,1
164-83-1155,maestro,1
164-83-1155,switch,1
165-65-0399,americanexpress,1
165-65-0399,jcb,2
165-84-1561,jcb,2
165-95-0833,americanexpress,1
165-95-0833,jcb,1
166-32-5119,china-unionpay,1
166-32-5119,jcb,1
167-21-4986,diners-club-us-ca,1
